GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
listme-backend,com.oliwier.listmebackend.api,DeviceController,31,3,0,0,6,1,3,1,3,1
listme-backend,com.oliwier.listmebackend.api,ImageUploadController,5,0,0,0,1,0,1,0,1,0
listme-backend,com.oliwier.listmebackend.api,FavoriteController,22,0,0,0,4,0,3,0,3,0
listme-backend,com.oliwier.listmebackend.api,ShareController,22,53,1,1,4,11,3,4,2,4
listme-backend,com.oliwier.listmebackend.api,ItemHistoryController,49,0,2,0,6,0,3,0,2,0
listme-backend,com.oliwier.listmebackend.api,LabelController,34,0,0,0,5,0,4,0,4,0
listme-backend,com.oliwier.listmebackend.api,SyncController,7,46,2,2,1,13,2,4,0,4
listme-backend,com.oliwier.listmebackend.api,ItemController,25,43,0,0,4,6,3,5,3,5
listme-backend,com.oliwier.listmebackend.api,CategoryController,0,34,0,0,0,5,0,4,0,4
listme-backend,com.oliwier.listmebackend.api,PresetController,36,0,0,0,6,0,4,0,4,0
listme-backend,com.oliwier.listmebackend.api,ListController,181,151,5,7,38,33,9,9,5,7
listme-backend,com.oliwier.listmebackend.api,BudgetController,5,0,0,0,1,0,1,0,1,0
listme-backend,com.oliwier.listmebackend.api,SyncTokenController,0,40,0,0,0,6,0,3,0,3
listme-backend,com.oliwier.listmebackend.api,ExportController,49,0,2,0,11,0,2,0,1,0
listme-backend,com.oliwier.listmebackend.config,WebConfig,0,63,0,0,0,10,0,2,0,2
listme-backend,com.oliwier.listmebackend.config,WebSocketConfig,0,45,0,0,0,8,0,2,0,2
listme-backend,com.oliwier.listmebackend.domain.service,ShareService,0,103,0,6,0,22,0,10,0,7
listme-backend,com.oliwier.listmebackend.domain.service,LabelService,18,114,1,3,1,26,3,7,2,6
listme-backend,com.oliwier.listmebackend.domain.service,SyncTokenService,0,132,1,9,0,23,1,10,0,6
listme-backend,com.oliwier.listmebackend.domain.service,ExportService,581,0,48,0,77,0,29,0,5,0
